,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
156,2020-02-14Sale(A),2020-12-117:37 pm,CURO Group Holdings Corp.,CURO,BAKER WILLIAM CCOO,500,$14.51,"$7,255","357,306(Direct)",View
157,2020-12-11Sale,2020-12-117:37 pm,Altabancorp,ALTA,HETS LLC10% Owner,"1,000",$29.6,"$29,595","44,060(Indirect)",View
158,2020-12-11Sale,2020-12-117:47 pm,PubMatic Inc.,PUBM,Helion Venture Partners LLC10% Owner,"975,241",$20,"$19,504,820",0(Direct),View
159,2020-12-09Sale,2020-12-118:00 pm,Ingersoll Rand Inc.,IR,Reynal VicenteDirector,"28,680",$45.02,"$1,291,088","200,018(IndirectDirect)",View
160,2020-12-11Sale,2020-12-118:05 pm,Identiv Inc.,INVE,Shapiro Nina B.Director,"15,000",$7.38,"$110,700","137,747(Direct)",View
161,2020-12-09Sale,2020-12-118:10 pm,DENBURY INC,DEN,GOLDENTREE ASSET MANAGEMENT LPGoldenTree Asset Management LLCTananbaum Steven A.10% Owner,"240,000",$24.5,"$5,880,000","5,824,675(Indirect)",View
162,2020-12-10Sale,2020-12-118:16 pm,PRICESMART INC,PSMT,PRICE ROBERT EDirector10% Owner,"19,258",$87.02,"$1,675,814","1,397,773(IndirectDirect)",View
163,2020-12-09Sale,2020-12-118:17 pm,Lovesac Co,LOVE,HEYER ANDREW RMistral Equity Partners LPDirector10% Owner,"450,000",$39.47,"$17,760,662","1,703,171(IndirectDirect)",View
164,2020-12-10Sale,2020-12-118:19 pm,PRICESMART INC,PSMT,Price Philanthropies Foundation10% Owner,"19,256",$87.02,"$1,675,639","4,145,799(Direct)",View
165,2020-12-09Sale,2020-12-118:23 pm,CarParts.com Inc.,PRTS,Nia MehranDirector,"20,000",$15.05,"$301,000","191,437(IndirectDirect)",View
166,2020-12-10Sale,2020-12-118:32 pm,Cara Therapeutics Inc.,CARA,CHALMERS DEREK TCEO,"7,500",$15.29,"$114,675","933,921(Direct)",View
167,2020-12-09Sale,2020-12-118:56 pm,EXPONENT INC,EXPO,JOHNSTON PAUL RDirector,"8,000",$86.38,"$691,023","53,627(Direct)",View
168,2020-12-09Sale,2020-12-118:59 pm,IVERIC bio Inc.,ISEE,GUYER DAVID RChairman,"9,602",$6.96,"$66,830","62,183(Direct)",View
169,2020-12-09Sale,2020-12-119:00 pm,Replimune Group Inc.,REPL,Love ColinCOO,"30,000",$43.75,"$1,312,382","976,524(Direct)",View
170,2020-12-10Sale,2020-12-119:00 pm,Adaptive Biotechnologies Corp,ADPT,BOBULSKY SUSANCOO,"25,000",$55,"$1,375,000",0(Direct),View
171,2020-12-11Sale,2020-12-119:00 pm,Adaptive Biotechnologies Corp,ADPT,SANG CHARLESVP,"50,000",$56.13,"$2,806,500",0(Direct),View
172,2020-12-09Sale,2020-12-119:00 pm,First Foundation Inc.,FFWM,KELLER ULRICH E. JRChairman,"25,000",$18.92,"$473,057","1,320,474(IndirectDirect)",View
173,2020-12-09Sale,2020-12-119:00 pm,Replimune Group Inc.,REPL,Astley-Sparke PhilipCEO,"50,000",$43.4,"$2,169,874","1,305,297(Direct)",View
174,2020-10-02Sale,2020-12-119:03 pm,PENN NATIONAL GAMING INC,PENN,HANDLER DAVID AChairman,"55,000",$75.05,"$4,127,894","163,906(Direct)",View
175,2020-12-09Sale,2020-12-119:04 pm,IVERIC bio Inc.,ISEE,Westby KeithCOO,"3,676",$6.96,"$25,585","57,868(Direct)",View
176,2020-10-27Sale,2020-12-1408:34 am,AgEagle Aerial Systems Inc.,UAVS,Begley Grant ADirector,"8,250",$2.47,"$20,378",0(Direct),View
177,2020-12-10Sale,2020-12-1408:56 am,PRICE T ROWE GROUP INC,TROW,Higginbotham Robert C.T.VP,"7,107",$149.07,"$1,059,451","76,847(Direct)",View
178,2020-12-10Sale,2020-12-1408:56 am,PRICE T ROWE GROUP INC,TROW,Alderson Christopher DVP,"2,043",$149.07,"$304,553","332,256(Direct)",View
179,2020-12-10Sale,2020-12-1409:10 am,PERDOCEO EDUCATION Corp,PRDO,NELSON TODD SCEO,"17,615",$12.46,"$219,398","946,275(Direct)",View
180,2020-12-04Sale,2020-12-1409:30 am,ALTAIR INTERNATIONAL CORP.,ATAO,EROP Capital LLCOwner of 9.9% of Issuer,"221,859",$0.28632,"$63,522","50,259,304(Direct)",View
181,2020-12-11Sale,2020-12-1409:37 am,CHASE CORP,CCF,CHASE PETER RChairman,"1,000",$114.31,"$114,310","290,913(IndirectDirect)",View
182,2020-12-10Sale,2020-12-1409:59 am,LOUISIANA-PACIFIC CORP,LPX,Sherman NeilVP,"5,026",$38.87,"$195,361","73,415(Direct)",View
183,2020-12-10Sale,2020-12-1410:20 am,BRADY CORP,BRC,BRUNO ELIZABETH PDirector,"20,000",$47.03,"$940,552","716,296(Indirect)",View
184,2020-12-10Sale,2020-12-1410:30 am,OLD SECOND BANCORP INC,OSBC,Ladowicz JohnDirector,350,$10.35,"$3,623","22,796(IndirectDirect)",View
185,2020-12-10Sale,2020-12-1410:36 am,CMC Materials Inc.,CCMP,Dysard Jeffrey MichaelVP,"1,370",$146.67,"$200,936","7,383(Direct)",View
186,2020-12-10Sale,2020-12-1410:42 am,CC Neuberger Principal Holdings I,PCPL,Alyeska Investment Group L.P.Alyeska Master Fund L.P.Alyeska Master Fund 3 L.P.ALYESKA FUND GP LLCALYESKA FUND 3 GP LLCALYESKA INVESTMENT GROUP LLCALYESKA INVESTMENTS LLCPAREKH ANAND10% Owner,"203,760",$10.26,"$2,090,578","4,547,349(IndirectDirect)",View
187,2020-11-19Sale,2020-12-1410:43 am,Legacy Housing Corp,LEGH,Hodgson Curtis DrewChairman10% Owner,"31,296",$15,"$469,308","3,025,831(IndirectDirect)",View
188,2020-09-03Sale,2020-12-1410:56 am,DONEGAL GROUP INC,DGICA,FOLMAR WILLIAM ALBERTVP,"5,437",$14.78,"$80,359",659(Direct),View
189,2020-12-10Sale,2020-12-1411:38 am,FLUSHING FINANCIAL CORP,FFIC,KORZEKWINSKI FRANCIS WVP,"3,000",$15.98,"$47,940","66,632(IndirectDirect)",View
190,2020-09-18Sale,2020-12-1411:50 am,COSTCO WHOLESALE CORP,COST,Miller Russell DVP,"5,000",$377.24,"$1,886,216","7,171(IndirectDirect)",View
191,2020-12-11Sale,2020-12-1411:57 am,MESA LABORATORIES INC,MLAB,KELLY DAVID MDirector,250,$283.18,"$70,795","2,350(Direct)",View
192,2020-12-10Sale,2020-12-1412:14 pm,Inari Medical Inc.,NARI,MILDER DONALD BDirector10% Owner,"7,000",$68.09,"$476,607","5,026,614(IndirectDirect)",View
193,2020-12-08Sale,2020-12-1412:19 pm,Oaktree Specialty Lending Corp,OCSL,TANNENBAUM LEONARD M10% Owner,"90,396",$5.6029,"$506,481","16,254,471(IndirectDirect)",View
194,2020-12-11Sale,2020-12-1412:24 pm,SEI INVESTMENTS CO,SEIC,Meyer StephenVP,"7,000",$56.33,"$394,310","141,224(Direct)",View
195,2020-12-10Sale,2020-12-1412:34 pm,SERVICE CORP INTERNATIONAL,SCI,Nash Elisabeth G.VP,"46,700",$49.13,"$2,294,152","121,434(IndirectDirect)",View
196,2020-12-10Sale,2020-12-1412:35 pm,Oaktree Specialty Lending Corp,OCSL,TANNENBAUM LEONARD M10% Owner,"2,900",$5.6,"$16,240","16,251,571(IndirectDirect)",View
197,2020-12-10Sale,2020-12-1412:43 pm,RESMED INC,RMD,Sandercock BrettCFO,"2,500",$211.06,"$527,650","103,100(Direct)",View
198,2020-12-10Sale,2020-12-1412:48 pm,VARIAN MEDICAL SYSTEMS INC,VAR,MOMSEN MAGNUSCAO,"4,473",$174.95,"$782,551",76(Direct),View
199,2020-12-11Sale,2020-12-141:11 pm,Neuberger Berman High Yield Strategies Fund Inc.,NHS,Saba Capital Management L.P.Weinstein Boaz10% Owner,"100,000",$11.85,"$1,185,000","4,774,870(Indirect)",View
200,2020-12-14Sale,2020-12-141:41 pm,COSTCO WHOLESALE CORP,COST,Callans Patrick JVP,"2,500",$374.64,"$936,612","59,838(Direct)",View
201,2020-12-11Sale,2020-12-141:48 pm,NETGEAR Inc,NTGR,Bryan MurrayCFO,"5,000",$36,"$180,000","51,827(Direct)",View
202,2020-12-11Sale,2020-12-141:52 pm,CITIZENS FINANCIAL GROUP INC,CFG,Coughlin BrendanHead of Consumer Banking,"12,000",$35.35,"$424,200","48,532(Direct)",View
203,2020-12-10Sale,2020-12-141:52 pm,CASTLE BIOSCIENCES INC,CSTL,BRADBURY DANIELDirector,"10,387",$59.67,"$619,810","761,191(Indirect)",View
204,2020-12-10Sale,2020-12-141:54 pm,SJW GROUP,SJW,Lynch James PatrickCFO,"1,000",$67.93,"$67,930","22,866(Direct)",View
205,2020-12-10Sale,2020-12-141:56 pm,Citi Trends Inc,CTRN,Short ChristinaVP,"2,600",$41.49,"$107,874","9,544(Direct)",View
206,2020-12-11Sale,2020-12-141:57 pm,COGNEX CORP,CGNX,BANUCCI EUGENE GDirector,"10,000",$75.95,"$759,533","23,000(Direct)",View
207,2020-12-11Sale,2020-12-141:58 pm,CASTLE BIOSCIENCES INC,CSTL,Cook Joseph C. IIIDirector,"24,659",$59.75,"$1,473,402","778,310(IndirectDirect)",View
208,2020-12-10Sale,2020-12-142:04 pm,CASTLE BIOSCIENCES INC,CSTL,MAETZOLD DEREK JCEO,"30,000",$59.29,"$1,778,640","1,306,002(IndirectDirect)",View
209,2020-12-10Sale,2020-12-142:16 pm,GRACO INC,GGG,JOHNSON DALE DPresident,"54,000",$68.5,"$3,699,000","213,402(IndirectDirect)",View
210,2020-12-14Sale,2020-12-142:18 pm,Zumiez Inc,ZUMZ,Bailey Scott AndrewDirector,"1,000",$38,"$38,000","4,131(Direct)",View
211,2020-12-10Sale,2020-12-142:35 pm,Co-Diagnostics Inc.,CODX,Durenard EugeneDirector,"10,000",$10.15,"$101,500",0(Direct),View
212,2020-12-10Sale,2020-12-142:35 pm,Designer Brands Inc.,DBI,Ferree Deborah LChairman,"4,424",$7.255,"$32,096","209,974(Direct)",View
213,2020-12-10Sale,2020-12-142:39 pm,ALPHA PRO TECH LTD,APT,Garcia David RDirector,"10,000",$12.2,"$122,000",0(Direct),View
214,2020-12-10Sale,2020-12-142:45 pm,Citi Trends Inc,CTRN,Council Ivy DSR VP of HR Chief Compl Offcr,"4,500",$43,"$193,500","74,764(Direct)",View
215,2020-12-11Sale,2020-12-142:57 pm,SUPERIOR ENERGY SERVICES INC,SPNX,FUNK JAMES MDirector,"11,000",$0.062,$682,372(Direct),View
216,2020-12-11Sale,2020-12-143:00 pm,SOLAREDGE TECHNOLOGIES Inc,SEDG,AVERY MOREDirector,"2,841",$294.72,"$837,300","118,250(Direct)",View
217,2020-12-11Sale,2020-12-143:00 pm,SUPERIOR ENERGY SERVICES INC,SPNX,Spexarth James W.CAO,"15,928",$0.0642,"$1,023",0(Direct),View
218,2020-12-11Sale,2020-12-143:40 pm,Citi Trends Inc,CTRN,Dunn James AVP,500,$42.64,"$21,320","52,168(Direct)",View
219,2020-12-09Sale,2020-12-143:42 pm,Trinseo S.A.,TSE,M&G INVESTMENT MANAGEMENT LTD10% Owner,"3,000",$44.82,"$134,460","7,771,044(Indirect)",View
220,2020-12-11Sale,2020-12-143:57 pm,RITCHIE BROS AUCTIONEERS INC,RBA,ACKLEY MATTHEWChief Marketing Officer,"2,000",$71.71,"$143,420",0(IndirectDirect),View
