,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
71,2020-12-02Sale,2020-12-045:01 pm,PFSWEB INC,PFSW,WILLOUGHBY MICHAEL CCEO,"16,682",$6.6176,"$110,394","270,864(Direct)",View
72,2020-12-03Sale,2020-12-045:01 pm,Aramark,ARMK,MCKEE LYNNVP,"25,828",$37.05,"$956,927","235,923(IndirectDirect)",View
73,2020-12-04Sale,2020-12-045:04 pm,COASTAL FINANCIAL CORP,CCB,Skotdal Andrew PDirector,"1,596",$19.75,"$31,527","403,835(IndirectDirect)",View
74,2020-12-04Sale,2020-12-045:05 pm,SOUTH STATE Corp,SSB,POLLOK JOHN CVP,"4,570",$72,"$329,040","88,422(Direct)",View
75,2020-12-04Sale,2020-12-045:06 pm,BEAZER HOMES USA INC,BZH,Salomon Robert L.CFO,"2,500",$15.15,"$37,863","224,601(Direct)",View
76,2020-12-03Sale,2020-12-045:07 pm,AMBARELLA INC,AMBA,Hu ChenmingDirector,"5,818",$88,"$511,984","18,079(Direct)",View
77,2020-12-02Sale,2020-12-045:07 pm,AMBARELLA INC,AMBA,Kohn LeslieCTO,"22,224",$88.36,"$1,963,678","879,281(Direct)",View
78,2020-12-03Sale,2020-12-045:08 pm,SOUTHERN CO,SO,Greene Kimberly SCEOChairman,"30,000",$61.96,"$1,858,800","50,291(Direct)",View
79,2020-12-02Sale,2020-12-045:11 pm,Square Inc.,SQ,Ahuja AmritaCFO,"1,854",$200.2,"$371,171","158,852(Direct)",View
80,2020-12-02Sale,2020-12-045:12 pm,PennyMac Financial Services Inc.,PFSI,Jones DougChief Mtge Bnkg Ofcr,"15,000",$59.66,"$894,948","81,192(IndirectDirect)",View
81,2020-12-03Sale,2020-12-045:14 pm,SYSTEMAX INC,SYX,Shetty ManojCIO,"5,000",$32,"$160,000","3,559(Direct)",View
82,2020-12-02Sale,2020-12-045:16 pm,SERVICE CORP INTERNATIONAL,SCI,RYAN THOMAS LCEOChairman,"1,000",$50.02,"$50,020","1,133,308(IndirectDirect)",View
83,2020-12-02Sale,2020-12-045:17 pm,SYSCO CORP,SYY,PELTZ NELSONTRIAN FUND MANAGEMENT L.P.Director,"800,000",$73.05,"$58,436,906","20,593,928(IndirectDirect)",View
84,2020-12-02Sale,2020-12-045:17 pm,Novus Therapeutics Inc.,NVUS,OrbiMed Israel GP Ltd.OrbiMed Israel BioFund GP Limited Partnership10% Owner,"103,200",$21.6,"$2,229,120","73,650(Indirect)",View
85,2020-12-02Sale,2020-12-045:18 pm,Datadog Inc.,DDOG,OBSTLER DAVID MCFO,"35,000",$92.97,"$3,253,826","118,335(Direct)",View
86,2020-12-02Sale,2020-12-045:18 pm,MAXIM INTEGRATED PRODUCTS INC,MXIM,BERGMAN JAMES RDirector,"2,000",$84.22,"$168,440","14,000(IndirectDirect)",View
87,2020-12-02Sale,2020-12-045:18 pm,ECOLAB Inc,ECL,BAKER DOUGLAS M JRCEOChairman,"148,107",$220.48,"$32,655,092","616,050(IndirectDirect)",View
88,2020-12-02Sale,2020-12-045:18 pm,SYSCO CORP,SYY,Frank Joshua D.TRIAN FUND MANAGEMENT L.P.Director,"800,000",$73.05,"$58,436,906","20,593,928(IndirectDirect)",View
89,2020-12-02Sale,2020-12-045:19 pm,Datadog Inc.,DDOG,Agarwal AmitChief Product Officer,"115,000",$92.99,"$10,693,736",0(IndirectDirect),View
90,2020-12-02Sale,2020-12-045:19 pm,VALERO ENERGY CORP,VLO,Gorder Joseph WCEO,"39,200",$58.42,"$2,290,100",0(Indirect),View
91,2020-12-02Sale,2020-12-045:22 pm,ECOLAB Inc,ECL,BECK BARBARADirector,"13,900",$222.26,"$3,089,434","26,821(Direct)",View
92,2020-12-02Sale,2020-12-045:22 pm,GROUP 1 AUTOMOTIVE INC,GPI,Pereira LincolnDirector,"20,000",$127.31,"$2,546,167","158,309(IndirectDirect)",View
93,2020-12-02Sale,2020-12-045:24 pm,JACK IN THE BOX INC,JACK,HOOPER DAWN EVP,439,$92.97,"$40,813","2,433(Direct)",View
94,2020-12-02Sale,2020-12-045:29 pm,JACK IN THE BOX INC,JACK,CORRIGAN MELISSA LSVP - CHIEF HR OFFICER,106,$92.47,"$9,802","6,329(Direct)",View
95,2020-12-02Sale,2020-12-045:29 pm,Independence Contract Drilling Inc.,ICD,MSD Partners L.P.MSD Credit Opportunity Master Fund L.P.Director10% Owner,"49,027",$3.885,"$190,471","892,898(Indirect)",View
96,2020-12-02Sale,2020-12-045:30 pm,Independence Contract Drilling Inc.,ICD,MSD CAPITAL L PMSD Energy Investments L.P.DELL MICHAEL SDirector,"11,666",$3.8851,"$45,324","211,924(Indirect)",View
97,2020-12-02Sale,2020-12-045:30 pm,CASTLE BIOSCIENCES INC,CSTL,MAETZOLD DEREK JCEO,"18,750",$51.05,"$957,267","1,336,002(IndirectDirect)",View
98,2020-12-02Sale,2020-12-045:32 pm,Walmart Inc.,WMT,WALTON JIM C10% Owner,"422,487",$149.9,"$63,331,027","386,142,464(IndirectDirect)",View
99,2020-12-02Sale,2020-12-045:34 pm,Eidos Therapeutics Inc.,EIDX,Sinha UmaChief Scientific Officer,"5,000",$90.04,"$450,187","316,525(Direct)",View
100,2020-12-04Sale,2020-12-045:35 pm,HEALTHCARE SERVICES GROUP INC,HCSG,Kush AndrewCOO,"2,000",$23.54,"$47,080","8,188(Direct)",View
101,2020-12-03Sale,2020-12-045:35 pm,HEALTHCARE SERVICES GROUP INC,HCSG,Ottaviano Dino DDirector,300,$23.16,"$6,948",434(Direct),View
102,2020-12-02Sale,2020-12-045:37 pm,JACK IN THE BOX INC,JACK,GORDON DEAN CVP,473,$92.47,"$43,738","8,991(Direct)",View
103,2020-12-03Sale,2020-12-045:38 pm,Schrodinger Inc.,SDGR,Daniel JenniferSee Remarks,"11,956",$65.6,"$784,314","6,688(Direct)",View
104,2020-12-03Sale,2020-12-045:39 pm,Discovery Inc.,DISCA,MALONE JOHN CDirector10% Owner,"550,000",$28.61,"$15,733,300","300,000(IndirectDirect)",View
105,2020-11-03Sale,2020-12-045:40 pm,SOUTHERN COPPER CORP,SCCO,VELASCO GERMAN LARREA MOTAChairman,"67,484",$60.74,"$4,098,911","1,814,477(Direct)",View
106,2020-12-02Sale,2020-12-045:40 pm,Walmart Inc.,WMT,WALTON S ROBSONDirector10% Owner,"422,487",$149.9,"$63,331,027","386,142,464(IndirectDirect)",View
107,2020-12-02Sale,2020-12-045:41 pm,JACK IN THE BOX INC,JACK,INGOLDT ADRIENNEVP,71,$92.47,"$6,565","2,289(Direct)",View
108,2020-12-02Sale,2020-12-045:43 pm,OptiNose Inc.,OPTN,Miller Peter KCEO,"74,800",$4.3234,"$323,391","109,308(IndirectDirect)",View
109,2020-12-02Sale,2020-12-045:43 pm,Walmart Inc.,WMT,WALTON ALICE L10% Owner,"422,487",$149.9,"$63,331,027","386,142,464(IndirectDirect)",View
110,2020-12-02Sale,2020-12-045:43 pm,Omnichannel Acquisition Corp.,OCA,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,"1,600",$10.1,"$16,160","2,533,300(Indirect)",View
111,2020-12-02Sale,2020-12-045:47 pm,JACK IN THE BOX INC,JACK,MARTIN ANDREW TCIO,414,$92.47,"$38,283","4,899(Direct)",View
112,2020-12-02Sale,2020-12-045:50 pm,Bill.com Holdings Inc.,BILL,Rettig John R.CFO,"16,832",$119.87,"$2,017,582","138,689(Direct)",View
